319,0,27900,193.75,308,49,880685,938.4481872,1
287,0,36881,209.5511364,474,0,3894551.54,1973.461816,1
101,2,121354,1333.56044,1348,262,1212406.418,1101.093283,2
52,2,3359,258.3846154,757,41,346709.0769,588.8200718,2
5,2,973,973,973,973,0,0,2
5,2,310,310,310,310,0,0,2
46,2,51374,1317.282051,1348,150,1398403.897,1182.541288,2
27,2,2179,363.1666667,756,212,288430.8333,537.0575699,2
43,2,45996,1314.171429,1348,164,1361802.971,1166.963141,2
28,2,2037,339.5,756,211,246363.5,496.3501788,2
82,2,99693,1347.202703,1348,1289,3433.959459,58.59999539,2
52,2,3103,282.0909091,756,212,289864.9091,538.3910373,2
5,2,973,973,973,973,0,0,2
5,2,310,310,310,310,0,0,2
42,2,47174,1347.828571,1348,1342,34.97142857,5.913664564,2
28,2,2038,339.6666667,756,212,246107.3333,496.0920613,2
32,0,31658,1172.518519,1360,18,4827308.741,2197.11373,2
32,0,1520,253.3333333,304,0,77013.33333,277.5127625,2
34,0,4411,259.4705882,308,49,161398.2353,401.7439922,3
29,0,14113,830.1764706,1186,39,3863058.471,1965.466477,3
5,2,739,739,739,739,0,0,3
5,2,760,760,760,760,0,0,3
5,2,1041,1041,1041,1041,0,0,3
5,2,1161,1161,1161,1161,0,0,3
6,2,1252,1252,1252,1252,0,0,3
5,2,757,757,757,757,0,0,3
6,2,2313,1156.5,1360,953,82824.5,287.7924599,3
5,2,374,374,374,374,0,0,3
7,2,1656,828,1360,296,566048,752.3616152,3
6,3,776,776,776,776,0,0,3
6,2,739,739,739,739,0,0,3
5,2,760,760,760,760,0,0,3
5,2,1041,1041,1041,1041,0,0,3
5,2,1177,1177,1177,1177,0,0,3
6,2,1252,1252,1252,1252,0,0,3
6,2,2313,1156.5,1360,953,82824.5,287.7924599,3
6,2,1672,836,1360,312,549152,741.0479067,3
6,2,776,776,776,776,0,0,3
5,2,739,739,739,739,0,0,3
5,2,760,760,760,760,0,0,3
5,2,993,993,993,993,0,0,3
5,2,1161,1161,1161,1161,0,0,3
6,2,1252,1252,1252,1252,0,0,3
6,2,2313,1156.5,1360,953,82824.5,287.7924599,3
7,2,1672,836,1360,312,549152,741.0479067,3
4,2,776,776,776,776,0,0,3
5,2,1041,1041,1041,1041,0,0,3
5,2,1161,1161,1161,1161,0,0,3
6,2,1252,1252,1252,1252,0,0,3
6,2,2313,1156.5,1360,953,82824.5,287.7924599,3
5,2,739,739,739,739,0,0,3
5,2,792,792,792,792,0,0,3
5,2,1041,1041,1041,1041,0,0,3
5,2,1161,1161,1161,1161,0,0,3
6,2,1252,1252,1252,1252,0,0,3
6,2,2313,1156.5,1360,953,82824.5,287.7924599,3
4,1,296,296,296,296,0,0,3
4,1,760,380,760,0,288800,537.4011537,3
5,2,739,739,739,739,0,0,3
5,2,760,760,760,760,0,0,3
5,2,1041,1041,1041,1041,0,0,3
5,2,1161,1161,1161,1161,0,0,3
6,2,1252,1252,1252,1252,0,0,3
6,2,2313,1156.5,1360,953,82824.5,287.7924599,3
7,2,1672,836,1360,312,549152,741.0479067,3
4,2,776,776,776,776,0,0,3
9,0,7738,1105.428571,1348,782,549181.7143,741.0679552,3
10,0,639,159.75,213,0,34026.75,184.463411,3
6,2,1025,1025,1025,1025,0,0,3
5,2,680,680,680,680,0,0,3
5,2,1182,1182,1182,1182,0,0,3
5,2,1080,1080,1080,1080,0,0,3
18,1,1282,256.4,517,126,90567.2,300.9438486,3
20,1,16020,1144.285714,1348,258,1569270.857,1252.705415,3
5,2,1025,1025,1025,1025,0,0,3
5,2,680,680,680,680,0,0,3
5,2,1181,1181,1181,1181,0,0,3
5,2,1096,1096,1096,1096,0,0,3
5,2,1025,1025,1025,1025,0,0,3
5,2,680,680,680,680,0,0,3
5,2,1182,1182,1182,1182,0,0,3
5,2,1080,1080,1080,1080,0,0,3
5,2,1009,1009,1009,1009,0,0,3
5,2,680,680,680,680,0,0,3
5,2,1198,1198,1198,1198,0,0,3
5,2,1096,1096,1096,1096,0,0,3
4,0,213,213,213,213,0,0,3
4,0,3479,869.75,1348,0,1221436.75,1105.186297,3
5,2,1009,1009,1009,1009,0,0,3
5,2,680,680,680,680,0,0,3
5,2,1182,1182,1182,1182,0,0,3
5,2,1096,1096,1096,1096,0,0,3
5,2,760,760,760,760,0,0,4
5,2,632,632,632,632,0,0,4
6,2,762,762,762,762,0,0,4
5,2,756,756,756,756,0,0,4
5,2,552,552,552,552,0,0,4
5,2,374,374,374,374,0,0,4
6,2,855,855,855,855,0,0,4
5,2,1000,1000,1000,1000,0,0,4
6,2,982,982,982,982,0,0,4
6,2,2281,1140.5,1360,921,96360.5,310.4198769,4
7,2,1403,701.5,1360,43,867244.5,931.2596308,4
5,2,744,744,744,744,0,0,4
8,0,3752,938,1074,850,27392,165.5052869,4
8,0,1216,243.2,304,0,73932.8,271.9058661,4
13,2,643,160.75,298,31,37622.75,193.9658475,4
11,2,8943,1117.875,1360,242,1119272.875,1057.956934,4
15,2,972,243,517,31,136734,369.7756076,4
11,2,8943,1117.875,1360,242,1119272.875,1057.956934,4
5,2,835,835,835,835,0,0,4
5,2,664,664,664,664,0,0,4
5,2,764,764,764,764,0,0,4
5,2,374,374,374,374,0,0,4
6,2,886,886,886,886,0,0,4
4,2,440,440,440,440,0,0,4
5,2,835,835,835,835,0,0,4
5,2,600,600,600,600,0,0,4
9,2,897,224.25,517,31,158502.75,398.1240385,4
9,2,3861,965.25,1360,152,973594.75,986.7090503,4
