143,152,168,192,223,252,279
280,290,307,341,372,402,426
699,709,720,747,774,851,887
892,901,912,940,973,1002,1028
1246,1255,1272,1304,1326,1356,1385
1386,1395,1408,1432,1461,1488,1518
1543,1552,1564,1594,1628,1658,1693
1698,1708,1720,1748,1776,1810,1836
1841,1850,1860,1882,1908,1938,1964
1971,1980,1996,2020,2044,2074,2100
2103,2112,2124,2148,2174,2204,2233
2242,2265,2279,2301,2325,2358,2387
